User,Average Similarity
양정호3,1.0
kkomi222,0.99999994
달콩s2,0.99999994
쿠블cooble,0.99999994
ceh****,0.9999999
hhhhkhy,0.9999999
pink00ss,0.9999999
ps1****,0.9999999
시인 김윤아,0.9999999
이6754,0.9999999
soyonemy,0.9999998
빼미27,0.9999998
ownkayoung,0.99999976
도도맘35,0.99999976
랄라3970,0.99999976
비니3464,0.99999976
짝꿍땡이,0.99999976
hsk****,0.9999997
michel423,0.9999997
son****,0.9999997
younmi1102,0.9999997
봄날의 소풍,0.9999997
악몽45,0.9999997
gurik,0.99999964
nom****,0.99999964
whl6237,0.99999964
대유아범43,0.99999964
빵상37,0.99999964
사랑48,0.99999964
염탐소름,0.99999964
juliet22226,0.9999996
꿈꾸는 자213,0.9999996
타이거 손,0.9999996
dus****,0.9999995
사필귀정2,0.9999995
nayakb63,0.99999917
임탱3899,0.99864864
정윤숙30,0.9981678
안태원,0.9979039
Kim Tae Hwa,0.997164
파아36,0.99654365
Peter9710,0.99610144
cyboscch,0.9956389
천여사58,0.9954175
수제비555,0.9953997
랄라랄라45,0.9950211
ung****,0.9945744
joo****,0.9940135
미니3695,0.9938634
시안077,0.9933261
스마트한멸구씨56,0.9903645
mon****,0.9887292
눈아이32,0.9885601
pcs0949,0.98855275
드림걸20,0.98839617
yty****,0.9877832
이영자58,0.9872587
ekf****,0.98677564
서햄46,0.98657864
jsangbae91,0.986557
하늘 미소,0.98605317
ip****,0.98590225
반짝반짝17,0.98588634
파더7731,0.9847195
너여서너라서너니까,0.9832631
id****,0.9822025
dynamicuk,0.98194283
myc****,0.9811516
enq****,0.9810267
태미니염,0.98063236
jjb****,0.9803188
jhsmpp,0.97937596
cky****,0.97889924
이쁜공주92,0.97760564
cae****,0.977605
사시사철 쭈우욱,0.97638524
친친96,0.97603625
yek****,0.97519904
자몽34,0.97457904
하늘색꿈9668,0.9744318
크리스미,0.9741158
jksoon,0.9740026
순수7455,0.97394186
세모김밥60,0.9737113
dht****,0.9730694
jju****,0.97275525
zta****,0.9727466
kelly89815,0.9724984
isu****,0.9721209
roheyo,0.9716299
mi****,0.9712507
김은주6834,0.97066855
bon****,0.9705662
핑크마녀we,0.96915305
uji****,0.9690231
dud****,0.96869683
머슴둘이,0.96831715
쩡이53,0.9665405
mom016213,0.9661054
mta****,0.9661053
카푸치노가득,0.96579236
오로라공주용,0.9650147
영웅호걸7,0.96422476
queenalwl,0.9635437
ansswing,0.96288764
난타2000,0.9626204
asqwe12319,0.96259624
멍이14,0.9620668
yis1215,0.9620019
1004장,0.96134907
yun7894,0.96120685
wjsghfla86,0.96084255
nix****,0.96077865
inae0843,0.96065044
뿌니7848,0.9592571
잭슨41,0.95788246
cm****,0.95774895
카이로30,0.9557417
보리264,0.95448726
박은경4946,0.95400035
jol****,0.95365447
망 곰,0.9536222
kgo****,0.95298594
주호주아주빈맘,0.9528018
ba1****,0.9520836
욘34,0.9506579
hea****,0.9500024
내 보물이에요,0.94955546
찌우맘99,0.9492791
허벅지뱃살대마왕,0.9489224
ast****,0.9485269
올때 음료수,0.946713
Seo   h,0.9459261
lif****,0.9448261
연우맘3625,0.9442883
선이4788,0.9440508
삭이22,0.94361514
Serenity60,0.9435408
505****,0.9425206
jer****,0.94196546
태양3779,0.9415869
namonu,0.9410682
h026,0.9409462
dms****,0.9407142
sieu4536,0.9404972
팬더고양이,0.93992966
CHIBAUME,0.9393166
융딩,0.9385371
jrk****,0.9384449
KCKIM,0.9377913
주소윤44,0.9374268
goo****,0.937112
박하사탕113,0.93604636
Vero79,0.93604624
garamgogo,0.9358392
dec****,0.93561506
Ethan7244,0.9353326
yum6117,0.93463653
델리언,0.9329442
최재형948,0.93256503
이경화8,0.9325099
윤상일,0.93191683
tud****,0.93122035
nam****,0.9298763
lol****,0.9298759
ykd****,0.92862666
실버9490,0.928505
dog****,0.92813236
Ming3421,0.92685634
2566,0.92618614
지섭짱,0.9260141
swpark713,0.9258311
sb****,0.9255924
너굴잉13,0.9251562
울라푸우25,0.925113
제이와이7831,0.9249327
bsg,0.92487824
gus****,0.9246546
zer****,0.92462367
aus****,0.9239764
kathybill2,0.92333996
hjs****,0.92318404
신이222,0.9229371
갬289,0.9226161
4월 스토리,0.92260915
yun****,0.9224484
jinjin58,0.922332
뇽3362,0.92200017
verge,0.9218665
히복이,0.92130536
jjc****,0.9209176
뚜루뚜9257,0.92082906
신하얀15,0.9208043
fortuna22,0.9203343
gift04,0.9199747
yoonheechoi,0.91971356
라세르로,0.9194326
ykp4,0.9189069
씽푸66,0.9189029
shokhyong9,0.9185921
com4001,0.9184063
yji****,0.918239
chcoco38,0.91816306
허스키걸,0.9179532
이제막시작,0.9178316
aimee28,0.91703427
프랭클린37,0.916792
죠니7,0.91657233
rlawnstjd12,0.9158032
필승114,0.9156789
star4053,0.91565776
챈이쭌이,0.9150473
또치35,0.9143224
하랑55,0.9141973
hoj****,0.9141239
멧위,0.9138211
elle7415,0.91339815
dub****,0.9131176
silvia32,0.9128973
fin****,0.9128085
huk3030,0.9126183
whd****,0.91238904
xexity72,0.91197443
Dec16,0.9118378
FEN,0.9118239
다린25,0.911589
반짝785,0.9114267
VALEDICTORIAN,0.9113778
fyd****,0.91135275
ss****,0.9112947
b03****,0.9112683
eli****,0.9111172
소연9,0.91050464
라카쿠니,0.9103171
식물교,0.9098236
쑤이엔,0.9094107
오늘도빵순이,0.90880156
js6****,0.908707
몬난이56,0.90868324
히히7367,0.90831065
상냥한니킥,0.90808064
피식23,0.9079502
더 프렌즈60,0.90767795
위즈펫애견미용학원,0.90751266
링고1294,0.90733296
육님39,0.9072828
bye****,0.9072789
sav****,0.906945
DDung,0.9069101
핸드폰6,0.9067969
장갬미,0.9065792
앙앙이39,0.90653014
nike113,0.9063651
키득키득14,0.9061251
