restaurant,category,platform,positivity
라체나1907,가격,blog,69.69041961776492
라체나1907,가격,kakao,85.68735758316667
라체나1907,가격,naver,80.0079571159216
라체나1907,맛,blog,69.36056183729072
라체나1907,맛,kakao,48.302769755107335
라체나1907,맛,naver,85.03435504523922
라체나1907,분위기,blog,83.78770896842073
라체나1907,분위기,kakao,74.60350166666666
라체나1907,분위기,naver,93.59839639603366
라체나1907,서비스,blog,57.681918274186536
라체나1907,서비스,kakao,49.998575687616665
라체나1907,서비스,naver,81.44813555347518
무명칼국수,가격,blog,68.01695180435294
무명칼국수,가격,kakao,99.996564
무명칼국수,가격,naver,81.24329193495
무명칼국수,맛,blog,63.380462206803024
무명칼국수,맛,kakao,63.662422608215415
무명칼국수,맛,naver,83.69828667083618
무명칼국수,분위기,blog,78.089536010625
무명칼국수,분위기,kakao,59.987413701976
무명칼국수,분위기,naver,59.992156535612004
무명칼국수,서비스,blog,66.45443070494444
무명칼국수,서비스,kakao,99.9904408
무명칼국수,서비스,naver,91.61703
연어시장 석계본점,가격,blog,55.74520769257196
연어시장 석계본점,가격,kakao,83.31151752654999
연어시장 석계본점,가격,naver,63.422355457777776
연어시장 석계본점,맛,blog,67.67501552222205
연어시장 석계본점,맛,kakao,81.10286036915875
연어시장 석계본점,맛,naver,82.51554339827209
연어시장 석계본점,분위기,blog,37.197698203514285
연어시장 석계본점,분위기,kakao,83.30101121621666
연어시장 석계본점,분위기,naver,79.960557596944
연어시장 석계본점,서비스,blog,56.31927074164571
연어시장 석계본점,서비스,kakao,71.42508832843143
연어시장 석계본점,서비스,naver,87.49665882541666
윤스쿡,가격,blog,63.36697536551075
윤스쿡,가격,kakao,44.77619136048667
윤스쿡,가격,naver,54.54072130163363
윤스쿡,맛,blog,70.39231611728935
윤스쿡,맛,kakao,66.54997758345
윤스쿡,맛,naver,91.58493944466404
윤스쿡,분위기,blog,66.84629806818181
윤스쿡,분위기,kakao,59.9879652794
윤스쿡,분위기,naver,59.98870881718
윤스쿡,서비스,blog,82.18899595652174
윤스쿡,서비스,kakao,59.998177366979995
윤스쿡,서비스,naver,59.99675859384401
한상,가격,blog,63.89553883640931
한상,가격,kakao,29.974776668110003
한상,가격,naver,35.90408357844812
한상,맛,blog,71.74557190235161
한상,맛,kakao,40.44018301643762
한상,맛,naver,59.56573163971984
한상,분위기,blog,78.19501707055778
한상,분위기,kakao,38.86764880477778
한상,분위기,naver,84.99578973627949
한상,서비스,blog,73.40551153571428
한상,서비스,kakao,60.96438157944445
한상,서비스,naver,57.82967368149415
