음식점,리뷰,지도
무명칼국수,칼국수면발이 정말 좋았어요,kakao
무명칼국수,그냥 어디가도 먹을수 있는 평범한 맛  전혀 특별하지 않음,kakao
무명칼국수,해물칼국수 정말 괜찮음 닭칼은 그닥 만두는 부추맛이 강해서 그닥 서울 물가 대비 가성비 미쳤음 양도 많음,kakao
무명칼국수,해물칼국수 닭칼국수 둘다 맛있고 만두 꼭 시켜먹길 추천합니다,kakao
무명칼국수,인생 닭칼국수,kakao
무명칼국수,Strong point 1 쫄깃한 식감의 수타면 2 아삭하고 감칠맛 나는 겉절이 반찬으로만 사가고 싶음  Nice point 1 바쁜데도 친절하셨던 남자 사장님  Weak point 1 바지락에서 모래알이 좀 씹힘 해감이 더 잘 되었으면 좋겠음 2 개인적으로 국물이 조금 짰음  닭칼국수도 먹어봐야겠네요 석계에서 수타칼국수 먹고싶으면 여기로,kakao
무명칼국수,해물과 닭칼국수에서 결정장애였는데 해물칼국수 오랜만에 맛있게 잘 먹었네요 김치도 맛있고 국물시원하고 다음엔 닭칼국수 갑니다,kakao
무명칼국수,김치는 존맛탱이었고 칼국수는 조금 짜서 호불호 갈리긴하는데 전 맛있었음 특히 닭칼국수,kakao
무명칼국수,생각보다 너무 평범했어요ㅜㅜ만두도 칼국수도,kakao
무명칼국수,김치는 너무 달고 육수는 아무 특색이 없음,kakao
무명칼국수,진짜 개맛있다,kakao
무명칼국수,찐맛집 닭칼이랑 해물칼국수 둘다 면이랑 국물 미쳤어요 김치도 대존맛 만두도 진짜임 광운대 가면 무조건 가야되는 맛집 다 친절하시고 가격도 착하다ㅠㅠ,kakao
무명칼국수,윽 저 동신아파트 사는데 걸어서 4분 그냥 저냥 빨리 후루룩 먹고 나와야지 안그러면 그릇 뺐기듯 그냥 가져감이모 그러는거 아냐김치 맛 변했음 안 가,kakao
무명칼국수,맛있지만 짜다 기본간이 짠데 심지어 테이블에 소금이 있음 하다못해 콩국수라도 기본간을 줄여주시면 어떨지,kakao
무명칼국수,김치가 끝내줌,kakao
무명칼국수,우리가족이 모두 국수를 좋아하는 가족이라서 20여년 이용하고 있는데 최고의 칼국수 집입니다 가족이 외식을 이집에서 제일 많이 했답니다,kakao
무명칼국수,꽤 맛좋은 집 해물칼국수 추천 우선 칼국수면발이 아주 쫄깃해서 식감이 좋다 칼국수에 빠질수 없는 중요한 김치도 맛있고 해물칼국수에 황태도 과하지 않게 적당히 들어가서 비리지도 않고 향이 지나치지도 않다 우리동네에도 하나 있었으면 하는 음식점 망하지 않고 잘유지해주길 바라는 음식점,kakao
무명칼국수,맛있는 동네 칼국수집,kakao
무명칼국수,석계 맛집 해물도 닭고 JMT,kakao
무명칼국수,이런 집이 이 동네에 있다는건 축복임  맛 서비스 모두 최고,kakao
무명칼국수,닭 칼국수 괜찮았습니다,kakao
무명칼국수,해물칼국수 깔끔하고 맛있습니다 무엇보다 친절하셔서 기분 좋게 먹었어요,kakao
무명칼국수,무명칼국수진짜 칼국수중에 최고다,kakao
무명칼국수,자주 가는 칼국수 집이에요 ㅎ 맛있어요,kakao
무명칼국수,해물 칼국수좋아요 만두도맛나요 석계역 가면 자주들리는집 국물이좋아서,kakao
무명칼국수,맛있고 친절하세요,kakao
무명칼국수,솔직히 말하면 칼국수는 그냥 그저그런 맛인데 김치가 한몫함,kakao
무명칼국수,난 그냥 그랬는데 같이간 부모님이 맛있다 하심,kakao
무명칼국수,한국사람이라면 무명칼국수 드세요 해물칼국수,kakao
무명칼국수,칼국수 정말 맛있어요 겉절이도 끝내줘요 가족끼리 하는것 같던데 아주머니는 정말 친절한데 아드님들이 좀 불친절함,kakao
무명칼국수,칼국수면 직접 만드시는거 같은데  진짜 쫄깃하고 국물도 시원함 겉절이가 신의 한수 2번 리필함 만두는 조미료맛 없이 집에서 만든 담백한 맛이라  호불호 갈릴듯 근처 방문하시면 추천,kakao
무명칼국수,맛있어요 겉절이도 맛남,kakao
무명칼국수,손칼국수라는거 말고는 맛의 특별함이 없는 집 만두맛도 평범하고  같이 간 지인에게 또 방문하겠냐 물어보니 재방문은 안하겠답니다,kakao
무명칼국수,침착맨 추천 맛집 ㅎㅎ 칼국수도 만두도 정말 직접 손으로 만든다는 느낌이 강한 요즘은 드문 제대로 된 음식점 칼국수 면발도 울퉁불퉁 하지만 넘 쫄깃하니 맛있고 만두도 진짜 왕만한데 소가 잘 되어 있어서 맛있었어요 자극적인 걸 좋아하는 초딩입맛인 제 입장에서 칼국수와 만두라는 삼삼한 메뉴로 4점이면 최고 칭찬인 겁니다 어른 분들은 환장하실 듯,kakao
무명칼국수,해물은 그닥 닭은 무난 김치가 겉절이가 아니라 아쉽,kakao
무명칼국수,맛있어요 결코 다시 닭칼국수  닭칼국수 닭칼국수,kakao
무명칼국수,해물칼국수 맛있음  기본인데 맛있음 김치 살짝 아쉬움  수타면이라 면이 균일하지 않아서 더 맛있음,kakao
무명칼국수,맛있고 비싸지도않고 일하시는분들이 다 친절하심 갈때마다 실망안하는곳,kakao
무명칼국수,진짜 인생맛집 칼국수입니다 면도 직접 만드시고 만두도 직접 만드시고 김치도 직접 만드시고 맛 또한 일품입니다 많이 덥고 바쁘고 힘드실텐데 일하시는 분들 모두 웃는 얼굴로 맞이해주시는 것도 너무 좋았습니다 ㅠㅠ  기다려서 먹어야하지만 꼭 가보시길 추천합니다,kakao
무명칼국수,국물 진짜 시원하고 맛있어요 ㅋㅋㅋ,kakao
무명칼국수,아 너무 맛있음 술 먹고 다음 날 먹으러 갑니다 양은 매우 많고 맛도 좋습니다 다만 사람들이 많다보니 대기가 생기는 편이고 음식이 나올 때까지 시간이 좀 걸려서 빨리 먹고 싶은데 기다리기 힘드네요,kakao
무명칼국수,칼국수 면도 직접 만드시는 것 같은데 면도 맛있고 국물도 맛있어요 특히 개인적으로 닭칼국수 너무 좋아하는데 양도 많고 맛있어서 대 만족 ㅠㅠ 저는 진짜 피크 시간대 완전 피해서 갔는데도 웨이팅은 없었지만 홀은 가득찼더라구요 만두도 넘넘 맛있었어요 ㅠ ㅠ ㅠ ㅠ 일단 김치도 맛있었어요 ,kakao
무명칼국수,검색하고 별 기대안하고 간 집인데 칼국수 맛집이네요 칼국수의 조미료맛이 거의 안나고 국물이 시원합니다 그리고 만두도 기대이상입니다 배부르게 먹고 속 더부룩함 없이 소화도 잘되었네요 맛집이라 그런지 점심시간에 가서 웨이팅이 조금있었지만 직원분들도 친절해서 더욱 좋았네요,kakao
무명칼국수,석계 맛집 특히 면과 겉절이가 맛있다 웨이팅이 좀 있지만  기다릴만 하다,kakao
무명칼국수,두 번 다시는 가고 싶지 않은 맛,kakao
무명칼국수,주변 검색해서 발견했는데 맛집인지 2팀 대기후 자리에 앉았음 직접 반죽해서 썰은 면발은 꼬들꼬들해서 맛있는 편 전 이보다 풀어진 면발을 좋아하는 편이라 해물 육수 심심하고 겉절이도 쏘쏘 합니다 만두도 직접 빚은 건데속도 다 들었는데 23 뭔가 부족합니다 전체적으로 전 그냥그냥 했네요,kakao
무명칼국수,닭칼국수간이 좀 세고 손은 느리시지만 김치가 넘 맛있고 칼수면발이 진짜 찰지고맛나서 한번씩 생각나서 가게됨  가격도 착한편,kakao
무명칼국수,여기 진짜 찐맛집인생 칼국수집 석계갈일 없는데 바지락칼국수 먹으러 가고싶을정도,kakao
