review,category,restaurant
마제소바 준비하신다고 테스트로 맛보여주셔서,맛,윤스쿡
양도 많고 맛도 있어요,맛,윤스쿡
양많고 맛나요,맛,윤스쿡
학교앞 돈가스중 제일 맛있움ㅜ,맛,윤스쿡
너무 맛나네요,맛,윤스쿡
광운대학교 앞에서 지금까지는 제일 맛난 돈까스집,맛,윤스쿡
음식맛은 히레랑 로츠 먹었는데 그 정도 퀄리티에 가성비 있다고 느꼈음,맛,윤스쿡
윤스쿡돈까스 맛나요,맛,윤스쿡
다른 돈까스 집에 비하면 두툼하고 고기 맛이 좋다,맛,윤스쿡
이것도 아주 훌륭한 맛,맛,윤스쿡
만족스러운 맛으로 자주가는 윤스쿡,맛,윤스쿡
광운대 앞에 있는 맛집이라 방문하였는데 소문대로 정말 맛있었습니다,맛,윤스쿡
맛나게먹었어요,맛,윤스쿡
맛은 무난하고 괜찮아요,맛,윤스쿡
맛이있음,맛,윤스쿡
양도 많고 맛도 훌륭하다,맛,윤스쿡
맛집을 찾았습니다,맛,윤스쿡
달달한 맛과 함께 고소한 기름이랑 육향이 팡 터져요,맛,윤스쿡
개쩌추 우리 1등 맛집,맛,윤스쿡
로스가 쫀득하니 아주 맛나네요,맛,윤스쿡
기대만큼 엄청 맛잇진 않앗,맛,윤스쿡
광운대 맛집입니다,맛,윤스쿡
맛나요,맛,윤스쿡
몇년뒤 종종 생각나는 맛집,맛,윤스쿡
맛나요,맛,윤스쿡
맛나요,맛,윤스쿡
돈가스 불고기덮밥 맛잇어요,맛,윤스쿡
광운대 맛집,맛,윤스쿡
넘 맛나요 히레가스 최고,맛,윤스쿡
너무 맛있어요 맛집 인정,맛,윤스쿡
특히 돈가스 맛집입니다,맛,윤스쿡
팡운머 맛집,맛,윤스쿡
맛나요,맛,윤스쿡
맛나요,맛,윤스쿡
맛집맛집,맛,윤스쿡
정말 맛있고 가격도 나쁘지,가격,윤스쿡
가격이 타가게 비해 비교적 빠르게 꾸준히,가격,윤스쿡
대학가치고 가격이 조금 있는것같아여,가격,윤스쿡
가격대는 음식 대비 저렴하다로 느껴지는데,가격,윤스쿡
월계동에서 이가격,가격,윤스쿡
가격대는 음식 대비 저렴하다고 느껴지는데,가격,윤스쿡
가격대는 음식 대비 저렴하다고 느껴지는데,가격,윤스쿡
넘 맛있는데 가격이 계속 올라서 슬퍼요,가격,윤스쿡
맛있는데 비싸,가격,윤스쿡
비싸,가격,윤스쿡
저렴한 가격에 냄새 안나고 먹을만했어여,가격,윤스쿡
뷰가 너무 좋다,분위기,한상
데 근처가 전부다 개발 중이라 뷰가 좋은듯 안좋은듯,분위기,한상
연말 모임을 한상에서 했는데 분위기 좋고 재료신선 친절하시고,분위기,한상
모여 분위기있는 곳에서 맛있게,분위기,한상
조용하게 분위기 있는,분위기,한상
환경에서 다양한 한식 깔끔하게,분위기,한상
층이 높아서 공사장뷰,분위기,한상
일단 가게 뷰도 좋고,분위기,한상
뷰는 좋은데 맛치고는 비싸요,분위기,한상
음식 맛 좋고 뷰도 좋은데,분위기,한상
분위기도아니고 매우 불친절했다,분위기,한상
맛도좋고 뷰도 조아요,분위기,한상
뷰맛집,분위기,한상
창가자리는 뷰가 좋아서 전체적으로 탁 트인 시원한,분위기,한상
분위기도 좋고 음식들이 하나같이 정갈하고,분위기,한상
뷰가 좋네요,분위기,한상
음식 깔끔하고 뷰 좋아요,분위기,한상
13층에서 좋은 뷰를 바라보며 먹는,분위기,한상
돌곶이역에서 바로라 위치가 좋고 13층이라 뷰가 좋아요,분위기,한상
고층에 있어서 뷰도 좋았고,분위기,한상
간이 잘 맛다,맛,한상
사장님의 무례함빼고 직원의응대와 맛은 최고였음,맛,한상
음식도 맛잇고 아이들 데리고 가서,맛,한상
연말 모임을 한상에서 했는데 분위기 좋고 재료신선 친절하시고,맛,한상
맛도 좋네요,맛,한상
다음에는 더 나은 맛을 기대합니다,맛,한상
맛도 괜찮,맛,한상
모신분이 조미료 맛이 안난다고,맛,한상
음식이 넘 맛나요,맛,한상
식사했습니다,맛,한상
맛 있어요,맛,한상
아들 생일이라 좀 근사한곳에 가서 식사하고 싶어,맛,한상
