음식점,사용자명,리뷰,_merge
하이레,kan****,"일요일 게릴라 오픈때 방문했는데 맛있었어요
구성과 곁들임이 다양해서 여러 시도를 할 수 있고,
친절하고 섬세하신 사장님덕분에 편안하고 배부르게
기분좋은 식사 했습니다. 다음엔 백석으로! ◡̈ ",both
하이레,희희맛,"육즙 폭발에 완전 부드럽고 고급진 돈까스... 온천계란도 같이주셔서 간장계란밥도 만들어먹을 수 있고, 소금과 후추, 고추기름 등 고급스런 옵션들이 있는게 다른집과 비교되는 최대차별점 같아여!! ",both
하이레,부천후후,특 로스 추천드립니다 특 이유가있어요 시루도 밥도 반찬들도 모두 고퀄입니다,both
하이레,이동네먹짱,"먹어본 돈가스 중에 최고예요. 광운대 앞 한줄기 빛..✨ 부드럽고, 촉촉하고, 잡내 전혀 없어서 진짜 게 눈 감추듯 순삭 했어요. 고기에 찍어먹을 소스가 다양해서 하나씩 찍어먹어보는 재미도 있어요. 고기가 너무너무 맛있어서 그냥 말돈 소금 살짝 찍어서 고기 맛 그대로 느끼며 먹는 게 제일 맛있더라고요.
식당 내부는 일본에 온 것처럼 일본 상품이 진열되어 있고, 집기류가 아기자기해요. 히레가스, 특등심 다 맛있었어요.
맛있다는 일식돈가스집 많이 가봤는데 여기만큼 촉촉하고 맛있는 곳은 처음이에요. 자주자주 가고 싶어요. 단골 예약입니다. 진짜 강추해요!!",both
하이레,붉은지렁이70,"꼭 카레 추가해서 드세요!!
정말 맛있어요!!",both
하이레,ksr****,"근처 식물샵 놀러온 겸 들리게되었습니다 ㅎㅎ 근래 먹어본 돈까스 중 제일 맛있었습니다. 매장 곳곳 식물과 오브젝트 등 사장님께서 신경을 많이 쓰신 게 느껴졌고 고기 질을 비롯하여 튀김의 두께, 스끼다시 등 조화가 푸짐하고 맛있었습니다 다음 번에도 또 방문하겠습니다. 번창하세요 ㅎㅎ",both
하이레,붉은지렁이70,노원구 돈카츠 1티어는 여기가 맞아요!!,both
하이레,오늘은 돈카츠,"카테고리를 5개 밖에 고르지 못하는 게 아쉽습니다…🥹 광운대학교 학생들이 너무 부러운 맛이구요… 크리스마스 최고의 선물임이 틀림 없습니다!!🫶 반찬 구성은 밥 부터 디저트까지 말할 것도 없고 사장님의 따뜻하고 친절하고 다정한 응대가 맛을 더 극상까지 끌어올리는 맛이라고 생각합니다🤦겨자, 와사비, 소금, 소스 등 다양한 선택지를 주시는 점도 좋고, 추가로 시켜먹었던 치즈카츠도 다른 곳에서 먹어볼 수 없는 특별한 메뉴라서 좋았어요! 인테리어도 마치 일본 현지에 있는 듯한 분위기 + 사장님께서 신경 쓰신 태가 많이 나서 정말 기분 좋고 맛있는 식사를 하실 수 있는 곳이라고 감히 추천드립니다🤤또 방문 할게요εïз ...｡✿*ﾟ‘ﾟ･.｡.:* ",both
하이레,가라아게맛 푸딩,"동네에 일식돈까스집이 생기다니 너무 반가운거 있죠... 게다가 온천계란을 밥에다가 비벼서 간.계.밥을 먹을 수 있다니... 간계밥과 돈까스가 주식인 저로써는 달려갈 수밖에 없었습니다..

그치만 대학교도 있고 오픈한지는 얼마 안 됐지만 이미 엄청나게 소문나버려서 저는 2번의 실패를 겼고 드디어 먹게 되었습니다ㅠㅠ 세 번 찍어서 안 내주는 돈까스 없다...🥹

저는 등심과 안심이 둘 다 있는 메뉴로 시켰는데 안심은 정말 부드럽고, 등심은 씹는 맛이 있게 부드러운 게 정말 일품이네요ㅜㅠ 게다가 간장과 온천계란의 콜라보는 말해뭐해구요..🥹🫰🏻 단호박샐러드도 살짝 나오는데 첫 시작으로 넘 좋았구요 샐러드도 더 주셔서 너무 좋았어요 여기는 앞으로 내 주식이 될 곳이다...🥰",both
하이레,Oo마녀oO,맛있는 집 ㅎㅎ 추천 해요.,both
하이레,bim****,맛집 불모지인 광운대 근처에.. 홍대에나 있을 법한 돈까스집이..!!!!! 제가 합정 크레이지카츠 처돌이인데 이곳은 반찬 구성이 너무 마음에 듭니다. 무려 온천계란이!!!!! 돈까스를 온천계란에 찍어먹을 생각을 하시다니??? 하이레 사장님 넘나 귀엽게 생기심 하이레 캐릭터랑 비슷하게 생기심..ㅎㅎ ,both
하이레,kwj****,가성비 좋아요.,both
하이레,Oo마녀oO,"돈까스는 이제 일상,특별한 날 여기로 다 오는 것 같아요.
넘 맛있는데 분위기도 받쳐줌.",both
하이레,연쇄 팩트범,"깔끔하고 좋아요 
돈가스가 부드러운데 오후 늦게 가면 품절 되어서 메뉴가 한정적일 수도 있어요",both
하이레,Oo마녀oO,"돈까스 최애 맛집 등극 이후로 넘 자주 오는게
아닌 가 싶을 정도로 자주 방문 하는 듯 함 ㅋㅋ",both
